,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
465,Liberia,668.0,LBR,1351.0,1570.0,2273.0,2869.0,1766.0,2757.0,4880.0,6887.0,4102.0,7193.0,7641.0,4837.0,4151.0,4109.0,3334.0,3874.0,3795.0,3619.0,4155.0,Africa
466,Libya,672.0,LBY,156.0,180.0,223.0,158.0,140.0,185.0,223.0,271.0,186.0,285.0,296.0,355.0,357.0,315.0,376.0,524.0,734.0,642.0,780.0,Africa
467,Lithuania,946.0,LTU,1147.0,1349.0,1732.0,1786.0,2266.0,2480.0,2417.0,1885.0,1361.0,967.0,1069.0,985.0,936.0,924.0,854.0,747.0,750.0,735.0,645.0,Europe
468,Luxembourg,137.0,LUX,11.0,26.0,34.0,32.0,16.0,13.0,35.0,28.0,39.0,28.0,30.0,22.0,24.0,19.0,40.0,26.0,27.0,34.0,33.0,Europe
469,Macao SAR,546.0,MAC,294.0,270.0,340.0,284.0,244.0,192.0,133.0,189.0,178.0,205.0,158.0,143.0,130.0,120.0,106.0,105.0,99.0,109.0,109.0,Asia
501,Madagascar,674.0,MDG,26.0,33.0,61.0,43.0,40.0,54.0,60.0,72.0,53.0,77.0,71.0,80.0,83.0,79.0,95.0,86.0,72.0,88.0,60.0,Africa
502,Malawi,676.0,MWI,41.0,61.0,70.0,56.0,62.0,83.0,131.0,131.0,123.0,133.0,164.0,164.0,123.0,192.0,159.0,172.0,160.0,205.0,228.0,Africa
503,Malaysia,548.0,MYS,991.0,1551.0,2439.0,2124.0,1200.0,1987.0,2632.0,2281.0,2149.0,1945.0,2014.0,1714.0,2273.0,2605.0,2477.0,2622.0,2749.0,3382.0,4109.0,Asia
504,Maldives,556.0,MDV,0.0,,9.0,9.0,15.0,7.0,6.0,,9.0,,6.0,5.0,3.0,3.0,5.0,13.0,8.0,11.0,5.0,Asia
505,Mali,678.0,MLI,72.0,109.0,119.0,105.0,124.0,163.0,277.0,408.0,412.0,523.0,576.0,528.0,629.0,734.0,667.0,604.0,587.0,598.0,544.0,Africa
506,Malta,181.0,MLT,43.0,54.0,57.0,44.0,37.0,57.0,74.0,70.0,53.0,66.0,58.0,74.0,51.0,62.0,43.0,39.0,58.0,65.0,75.0,Europe
507,Marshall Islands,867.0,MHL,3.0,3.0,,26.0,26.0,48.0,32.0,53.0,48.0,39.0,48.0,37.0,38.0,50.0,46.0,56.0,32.0,32.0,23.0,Oceania
539,Mauritania,682.0,MRT,24.0,88.0,117.0,124.0,131.0,170.0,275.0,720.0,651.0,844.0,597.0,495.0,393.0,410.0,354.0,320.0,298.0,317.0,287.0,Africa
540,Mauritius,684.0,MUS,38.0,54.0,84.0,83.0,57.0,65.0,99.0,108.0,88.0,83.0,110.0,84.0,101.0,77.0,83.0,81.0,96.0,110.0,96.0,Africa
541,Mexico,273.0,MEX,147402.0,173493.0,205560.0,218822.0,115585.0,175411.0,161445.0,173749.0,148640.0,189989.0,164920.0,139120.0,143446.0,146406.0,135028.0,134052.0,158619.0,174534.0,170581.0,Latin America and the Caribbean
542,Micronesia,868.0,FSM,,5.0,9.0,,4.0,5.0,6.0,12.0,7.0,13.0,16.0,10.0,9.0,13.0,4.0,5.0,6.0,11.0,6.0,Oceania
574,Mongolia,948.0,MNG,41.0,46.0,102.0,135.0,153.0,229.0,323.0,497.0,530.0,659.0,831.0,594.0,774.0,691.0,729.0,651.0,644.0,750.0,661.0,Asia
575,Montenegro,943.0,MNE,,,,,,,,,,,,120.0,204.0,265.0,265.0,289.0,251.0,387.0,323.0,Europe
607,Morocco,686.0,MAR,2970.0,3614.0,4958.0,3387.0,3137.0,4128.0,4411.0,4949.0,4513.0,4425.0,5447.0,5013.0,4399.0,3656.0,3336.0,3605.0,3710.0,4586.0,4229.0,Africa
