Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
The Gambia,648,GMB,1117.904,1006.711,918.451,888.186,613.246,716.477,537.175,691.742,771.322,778.464,877.234,889.162,921.341,932.24,892.217,904.37,916.463,908.28,906.41,903.464,854.358,822.49,704.994,648.807,716.938,746.113,718.073,827.647,1015.355,907.499,963.529,800.32,789.626,735.236,656.497,693.01,708.855,705.038
Georgia,915,GEO,,,,,,,,,,,,,,,167.791,402.195,669.835,796.051,840.862,668.265,742.658,797.114,850.804,1006.45,1301.716,1636.703,1992.091,2626.832,3325.488,2811.925,3062.853,3825.156,4237.928,4340.711,4441.774,3759.598,3856.067,4046.89
Germany,134,DEU,11067.707,9294.292,8980.869,8991.058,8505.461,8646.016,12340.143,15353.218,16452.169,16170.706,20172.523,23364.326,26432.955,25568.585,27244.565,31901.248,30743.139,27253.126,27580.223,27053.846,24003.789,23945.534,25565.13,30779.565,34646.669,35236.678,37018.783,42531.246,46681.071,42576.208,42641.416,46852.925,44089.275,46544.947,48218.87,41415.169,42460.686,44770.578
Ghana,652,GHA,3570.67,5637.601,6416.766,4218.387,1409.55,1223.252,1106.498,906.973,941.727,935.957,1056.152,1154.351,1114.474,883.34,792.675,914.587,948.53,945.088,1001.88,1011.726,606.32,630.327,714.156,858.791,970.464,1147.602,1315.805,1516.054,1677.368,1462.796,1745.539,2123.648,2184.39,2389.773,1962.658,1753.851,1941.46,2037.953
Greece,174,GRC,5948.312,5422.695,5623.925,5050.595,4895.517,4832.492,5670.974,6577.878,7632.639,7879.212,9679.318,10282.862,11234.158,10451.746,11122.873,12997.524,13776.698,13484.135,13526.691,13901.672,12268.253,12577.02,14171.836,18530.221,22007.85,22624.066,24857.207,28899.948,32198.014,29819.229,26972.873,25896.934,22171.911,21805.257,21726.89,18114.716,18110.873,18897.637
Grenada,328,GRD,1246.003,1276.906,1347.451,1373.168,1478.411,1678.863,1873.217,2163.51,2410.287,2759.682,2888.348,3118.149,3191.017,3151.541,3270.578,3413.022,3640.139,3878.391,4401.422,4751.576,5117.59,5109.959,5292.233,5773.074,5836.178,6754.513,6766.487,7324.191,7947.427,7395.064,7365.642,7410.478,7583.189,7956.077,8569.927,9333.271,9892.48,10451.031
Guatemala,258,GTM,1014.948,1081.263,1067.959,1081.019,1102.926,1269.503,669.266,755.753,798.248,897.807,767.058,916.058,991.381,1052.61,1165.427,1279.143,1335.423,1479.006,1570.72,1448.276,1475.207,1568.379,1701.769,1753.339,1872.738,2077.835,2256.559,2489.954,2794.241,2635.743,2825.507,3187.836,3299.603,3452.83,3687.748,3923.56,4140.717,4469.457
Guinea,656,GIN,,,,,,,,,,,616.328,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,631.291,540.562,637.791,712.982,729.798,712.047,687.118,801.89
Guinea-Bissau,654,GNB,218.699,273.941,305.168,337.149,229.638,330.465,316.017,262.605,239.877,282.621,337.82,465.072,498.383,376.258,414.591,428.799,399.43,371.27,329.053,347.737,304.618,311.913,328.781,375.135,409.126,442.734,436.702,502.821,613.081,571.99,582.54,736.686,649.026,671.136,662.382,643.916,708.398,793.622
Guyana,336,GUY,731.337,710.265,600.588,611.657,612.527,628.549,698.954,883.386,836.085,1072.803,905.709,1024.369,837.991,1001.878,1209.223,1366.164,1528.558,1618.376,1511.149,1549.823,1513.77,1517.114,1560.957,1612.484,1697.202,1766.006,1956.018,2334.01,2560.997,2693.189,3004.231,3414.761,3779.463,3926.363,4029.779,4168.479,4531.241,4578.204
